item_id,severity_9pt,severity_7pt,severity_5level,mechanism_category,mechanism_subcategory,notes
EQ_0001,4.0,6,Dangerous,D_METACOGNITIVE,D2_false_hedging,
EQ_0002,2.5,4,Fabrication,B_REASONING,B3_analogical,
EQ_0003,0.5,1,Minor,A_RETRIEVAL,A1_temporal,Real-world impact depends on context
EQ_0004,1.0,2,Minor,E_AMPLIFICATION,E2_scope_expansion,
EQ_0005,1.5,3,Moderate,B_REASONING,B1_causal,
EQ_0006,3.0,5,Fabrication,A_RETRIEVAL,A1_temporal,Could mislead a non-expert
EQ_0007,2.0,4,Moderate,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0008,0.5,1,Minor,A_RETRIEVAL,A4_quantitative,
EQ_0009,2.5,4,Fabrication,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0010,2.5,4,Fabrication,E_AMPLIFICATION,E2_scope_expansion,
EQ_0011,4.0,6,Dangerous,C_GENERATION,C2_source_fabrication,
EQ_0012,1.5,3,Moderate,A_RETRIEVAL,A2_spatial,
EQ_0013,0.0,0,Correct,,,
EQ_0014,0.0,0,Correct,,,
EQ_0015,4.0,6,Dangerous,C_GENERATION,C3_fact_fabrication,
EQ_0016,0.5,1,Minor,A_RETRIEVAL,A4_quantitative,
EQ_0017,4.0,6,Dangerous,B_REASONING,B2_logical,
EQ_0018,3.5,6,Dangerous,C_GENERATION,C2_source_fabrication,
EQ_0019,0.5,1,Minor,A_RETRIEVAL,A2_spatial,
EQ_0020,0.0,0,Correct,,,
EQ_0021,4.0,6,Dangerous,E_AMPLIFICATION,E2_scope_expansion,GT may be debatable
EQ_0022,0.5,1,Minor,A_RETRIEVAL,A2_spatial,
EQ_0023,4.0,6,Dangerous,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0024,0.5,1,Minor,B_REASONING,B2_logical,
EQ_0025,4.0,6,Dangerous,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0026,0.5,1,Minor,E_AMPLIFICATION,E2_scope_expansion,
EQ_0027,0.5,1,Minor,A_RETRIEVAL,A1_temporal,
EQ_0028,0.5,1,Minor,A_RETRIEVAL,A3_entity,
EQ_0029,3.5,6,Dangerous,E_AMPLIFICATION,E2_scope_expansion,Error is subtle but consequential
EQ_0030,3.0,5,Fabrication,B_REASONING,B2_logical,
EQ_0031,2.5,4,Fabrication,C_GENERATION,C3_fact_fabrication,
EQ_0032,0.0,0,Correct,,,
EQ_0033,4.0,6,Dangerous,A_RETRIEVAL,A3_entity,
EQ_0034,0.5,1,Minor,C_GENERATION,C2_source_fabrication,
EQ_0035,0.0,0,Correct,,,
EQ_0036,0.0,0,Correct,,,
EQ_0037,1.0,2,Minor,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0038,3.5,6,Dangerous,D_METACOGNITIVE,D1_overconfidence,
EQ_0039,2.5,4,Fabrication,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0040,4.0,6,Dangerous,C_GENERATION,C2_source_fabrication,
EQ_0041,3.5,6,Dangerous,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0042,0.5,1,Minor,B_REASONING,B1_causal,
EQ_0043,3.5,6,Dangerous,C_GENERATION,C3_fact_fabrication,GT may be debatable
EQ_0044,0.0,0,Correct,,,
EQ_0045,3.0,5,Fabrication,A_RETRIEVAL,A2_spatial,
EQ_0046,0.0,0,Correct,,,
EQ_0047,3.0,5,Fabrication,F_FORMAT,F1_ambiguous_structure,
EQ_0048,1.5,3,Moderate,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0049,4.0,6,Dangerous,D_METACOGNITIVE,D1_overconfidence,
EQ_0050,0.5,1,Minor,A_RETRIEVAL,A4_quantitative,
EQ_0051,0.0,0,Correct,,,
EQ_0052,1.0,2,Minor,A_RETRIEVAL,A1_temporal,
EQ_0053,0.0,0,Correct,,,
EQ_0054,2.5,4,Fabrication,E_AMPLIFICATION,E2_scope_expansion,
EQ_0055,4.0,6,Dangerous,C_GENERATION,C2_source_fabrication,
EQ_0056,0.5,1,Minor,A_RETRIEVAL,A1_temporal,
EQ_0057,0.0,0,Correct,,,
EQ_0058,3.0,5,Fabrication,C_GENERATION,C3_fact_fabrication,
EQ_0059,0.5,1,Minor,A_RETRIEVAL,A3_entity,
EQ_0060,0.5,1,Minor,F_FORMAT,F2_misleading_emphasis,
EQ_0061,0.5,1,Minor,A_RETRIEVAL,A2_spatial,
EQ_0062,1.0,2,Minor,A_RETRIEVAL,A2_spatial,
EQ_0063,0.5,1,Minor,E_AMPLIFICATION,E1_kernel_distortion,
EQ_0064,2.0,4,Moderate,B_REASONING,B1_causal,GT may be debatable
EQ_0065,1.5,3,Moderate,A_RETRIEVAL,A3_entity,
EQ_0066,4.0,6,Dangerous,C_GENERATION,C2_source_fabrication,
EQ_0067,1.5,3,Moderate,A_RETRIEVAL,A1_temporal,
EQ_0068,0.0,0,Correct,,,
EQ_0069,3.5,6,Dangerous,C_GENERATION,C1_entity_fabrication,
EQ_0070,1.5,3,Moderate,A_RETRIEVAL,A2_spatial,
EQ_0071,1.5,3,Moderate,B_REASONING,B2_logical,
EQ_0072,0.0,0,Correct,,,
EQ_0073,0.5,1,Minor,B_REASONING,B3_analogical,
EQ_0074,0.5,1,Minor,A_RETRIEVAL,A1_temporal,
EQ_0075,3.0,5,Fabrication,C_GENERATION,C2_source_fabrication,
EQ_0076,4.0,6,Dangerous,C_GENERATION,C3_fact_fabrication,
EQ_0077,2.5,4,Fabrication,D_METACOGNITIVE,D2_false_hedging,
EQ_0078,0.5,1,Minor,A_RETRIEVAL,A4_quantitative,
EQ_0079,3.5,6,Dangerous,B_REASONING,B3_analogical,Error is subtle but consequential
EQ_0080,0.0,0,Correct,,,
EQ_0081,0.5,1,Minor,A_RETRIEVAL,A2_spatial,
EQ_0082,1.0,2,Minor,A_RETRIEVAL,A4_quantitative,
EQ_0083,0.5,1,Minor,A_RETRIEVAL,A3_entity,
EQ_0084,4.0,6,Dangerous,C_GENERATION,C2_source_fabrication,
EQ_0085,0.0,0,Correct,,,
EQ_0086,1.0,2,Minor,F_FORMAT,F1_ambiguous_structure,
EQ_0087,0.0,0,Correct,,,
EQ_0088,1.0,2,Minor,E_AMPLIFICATION,E2_scope_expansion,
EQ_0089,4.0,6,Dangerous,A_RETRIEVAL,A4_quantitative,
EQ_0090,0.0,0,Correct,,,
EQ_0091,3.0,5,Fabrication,C_GENERATION,C3_fact_fabrication,
EQ_0092,4.0,6,Dangerous,A_RETRIEVAL,A2_spatial,
EQ_0093,0.0,0,Correct,,,
